Timestamp,1. What is your age group?,2. What is your occupation?,3. At what time of day did the incident occur?,4. Where did the incident occur?,5. How crowded was the location at the time of the incident?,6. What was the lighting condition in the area?,7. Was any form of security present at the location?,8. Were you familiar with the area where the incident occurred?,9. What type of harassment did you experience?,10. How often have you experienced harassment in similar situations?,11. How safe did you feel during the incident?,"12. Overall, how would you rate the risk level of harassment in that situation?"
76,2,1,4,0,0,0,0,2,0,4,0,3
77,4,4,0,3,1,2,0,3,0,2,2,0
78,1,0,0,2,1,4,2,4,0,3,3,1
79,2,2,0,3,1,0,1,0,2,2,3,2
80,3,0,2,4,2,3,1,4,2,2,3,2
81,1,2,3,3,3,1,3,2,4,2,1,1
82,3,4,2,2,2,0,2,2,2,3,4,3
83,1,3,3,1,1,2,3,1,4,0,2,2
84,2,2,1,1,1,0,0,0,1,2,3,1
85,0,3,3,2,4,2,2,4,3,3,3,1
86,1,2,4,2,3,4,1,0,1,2,2,4
87,2,0,4,3,1,4,3,3,2,3,2,2
88,1,2,1,4,1,3,0,4,0,2,0,1
89,1,2,3,3,4,4,1,0,3,2,2,2
90,2,0,2,4,1,1,2,2,3,2,1,0
91,3,4,2,2,2,0,2,2,2,3,4,3
92,0,3,3,4,4,2,0,3,3,3,2,0
93,2,0,2,4,1,1,2,2,3,2,1,0
94,0,3,3,4,4,2,0,3,3,3,2,0
95,1,2,1,4,1,3,0,4,0,2,0,1
96,3,0,0,1,0,2,1,2,1,2,3,2
97,3,1,3,4,0,3,3,1,3,0,1,1
98,0,3,3,2,2,1,3,0,2,2,3,1
99,1,2,0,3,1,2,1,4,1,3,2,2
100,2,0,2,4,4,1,0,4,2,1,1,0
101,0,3,2,3,4,2,2,3,2,3,2,4
102,1,4,2,1,1,2,1,3,3,1,2,2
103,2,1,4,0,0,0,0,2,0,4,0,3
104,0,2,3,3,2,2,1,3,4,2,2,2
105,1,2,0,1,1,2,1,0,4,0,4,4
106,0,3,3,2,1,1,2,0,1,4,3,2
107,3,0,0,0,4,0,0,4,1,4,2,2
108,0,3,3,4,2,1,3,4,4,1,2,1
109,3,4,0,2,1,1,1,2,3,1,1,1
110,0,0,0,3,1,3,3,4,2,2,2,2
111,1,0,2,3,0,2,0,0,3,0,3,0
112,1,2,0,0,2,1,0,1,2,0,2,3
113,3,0,2,4,2,3,1,4,2,2,3,2
114,0,3,3,4,4,2,0,3,3,3,2,0
