Timestamp,1. What is your age group?,2. What is your occupation?,3. At what time of day did the incident occur?,4. Where did the incident occur?,5. How crowded was the location at the time of the incident?,6. What was the lighting condition in the area?,7. Was any form of security present at the location?,8. Were you familiar with the area where the incident occurred?,9. What type of harassment did you experience?,10. How often have you experienced harassment in similar situations?,11. How safe did you feel during the incident?,"12. Overall, how would you rate the risk level of harassment in that situation?"
2026-02-24 08:56:31,36-45,Self-employed,Evening,Street/Public place,The location was slightly crowded,The lighting was good,There was some security,I mostly knew the area,"Online harassment (messages, social media, calls)",I have very often experienced harassment in similar situations,I felt somewhat safe,There was a very high risk of harassment
2026-02-24 08:56:49,18-25,Self-employed,Morning,Street/Public place,The location was mostly crowded,The lighting was moderate,There was mostly security,I mostly knew the area,"Verbal harassment (unwanted comments, remarks)",I have rarely experienced harassment in similar situations,I felt somewhat safe,There was a moderate risk of harassment
2026-02-24 08:57:07,46-55,Umemployed,Afternoon,Public transport,The location was moderately crowded,The lighting was good,There was mostly security,I knew the area completely,Stalking (being followed or repeatedly contacted),I have often experienced harassment in similar situations,I felt mostly safe,There was a low risk of harassment
2026-02-24 08:57:45,46-55,Employed,Evening,Workplace or Educational institute,The location was mostly crowded,The lighting was poor,There was mostly security,I somewhat knew the area,"Physical harassment (touching, grabbing, assault)",I have rarely experienced harassment in similar situations,I felt unsafe,There was a moderate risk of harassment
2026-02-24 08:58:13,46-55,Self-employed,Evening,Workplace or Educational institute,The location was slightly crowded,The lighting was good,There was no security at all,I knew the area completely,"Online harassment (messages, social media, calls)",I have sometimes experienced harassment in similar situations,I felt mostly safe,There was a moderate risk of harassment
2026-02-24 08:58:33,36-45,Self-employed,Afternoon,Street/Public place,The location was moderately crowded,The lighting was excellent,There was mostly security,I barely knew the area,"Physical harassment (touching, grabbing, assault)",I have rarely experienced harassment in similar situations,I felt unsafe,There was a moderate risk of harassment
2026-02-24 08:58:53,36-45,Employed,Afternoon,Street/Public place,The location was moderately crowded,The lighting was very poor,There was mostly security,I somewhat knew the area,Stalking (being followed or repeatedly contacted),I have sometimes experienced harassment in similar situations,I felt very unsafe,There was a low risk of harassment
2026-02-24 09:01:10,46-55,Employed,Afternoon,Online platform,The location was extremely crowded,The lighting was moderate,There was mostly security,I knew the area completely,"Online harassment (messages, social media, calls)",I have rarely experienced harassment in similar situations,I felt unsafe,There was a moderate risk of harassment
2026-02-24 09:02:46,18-25,Self-employed,Early Morning,At home,The location was mostly crowded,The lighting was very poor,There was mostly security,I mostly knew the area,"Online harassment (messages, social media, calls)",I have rarely experienced harassment in similar situations,I felt somewhat safe,There was a moderate risk of harassment
2026-02-24 09:04:04,36-45,Employed,Night,Street/Public place,The location was moderately crowded,The lighting was very poor,There was some security,I mostly knew the area,"Physical harassment (touching, grabbing, assault)",I have sometimes experienced harassment in similar situations,I felt somewhat safe,There was a moderate risk of harassment
2026-02-24 09:04:27,26-35,Self-employed,Afternoon,Street/Public place,The location was moderately crowded,The lighting was moderate,There was mostly security,I somewhat knew the area,"Online harassment (messages, social media, calls)",I have sometimes experienced harassment in similar situations,I felt somewhat safe,There was a moderate risk of harassment
2026-02-24 09:05:14,46-55,Other,Evening,At home,The location was moderately crowded,The lighting was moderate,Security was fully present,I somewhat knew the area,"Online harassment (messages, social media, calls)",I have sometimes experienced harassment in similar situations,I felt completely safe,There was a very high risk of harassment
2026-02-24 09:05:31,26-35,Self-employed,Early Morning,Workplace or Educational institute,The location was moderately crowded,The lighting was poor,Security was fully present,I somewhat knew the area,Harassment at home (by family member or known person),I have rarely experienced harassment in similar situations,I felt completely safe,There was a low risk of harassment
2026-02-24 09:05:53,36-45,Self-employed,Afternoon,Online platform,The location was moderately crowded,The lighting was excellent,There was mostly security,I mostly knew the area,"Online harassment (messages, social media, calls)",I have rarely experienced harassment in similar situations,I felt unsafe,There was a moderate risk of harassment
2026-02-24 09:06:18,18-25,Student,Morning,Street/Public place,The location was mostly crowded,The lighting was moderate,Security was fully present,I knew the area completely,Harassment at home (by family member or known person),I have sometimes experienced harassment in similar situations,I felt unsafe,There was a moderate risk of harassment
2026-02-24 09:06:56,26-35,Self-employed,Night,Public transport,The location was not crowded at all,The lighting was very poor,There was mostly security,I barely knew the area,"Online harassment (messages, social media, calls)",I have rarely experienced harassment in similar situations,I felt somewhat safe,There was no risk of harassment at all
2026-02-24 09:07:36,46-55,Employed,Afternoon,At home,The location was slightly crowded,The lighting was excellent,Security was fully present,I somewhat knew the area,"Online harassment (messages, social media, calls)",I have very often experienced harassment in similar situations,I felt somewhat safe,There was a moderate risk of harassment
2026-02-24 09:09:39,36-45,Employed,Evening,Workplace or Educational institute,The location was moderately crowded,The lighting was good,There was no security at all,I knew the area completely,Stalking (being followed or repeatedly contacted),I have rarely experienced harassment in similar situations,I felt mostly safe,There was a high risk of harassment
2026-02-24 11:50:30,26-35,Self-employed,Afternoon,At home,The location was mostly crowded,The lighting was good,Security was fully present,I did not know the area at all,"Physical harassment (touching, grabbing, assault)",I have never experienced harassment in similar situations,I felt somewhat safe,There was a very high risk of harassment
2026-02-24 11:50:53,26-35,Other,Night,Workplace or Educational institute,The location was mostly crowded,The lighting was poor,Security was fully present,I did not know the area at all,"Online harassment (messages, social media, calls)",I have often experienced harassment in similar situations,I felt somewhat safe,There was a moderate risk of harassment
2026-02-24 12:01:05,26-35,Employed,Afternoon,Workplace or Educational institute,The location was slightly crowded,The lighting was poor,Security was fully present,I did not know the area at all,"Verbal harassment (unwanted comments, remarks)",I have sometimes experienced harassment in similar situations,I felt mostly safe,There was a low risk of harassment
2026-02-24 12:01:23,46-55,Employed,Morning,Street/Public place,The location was slightly crowded,The lighting was very poor,Security was fully present,I did not know the area at all,"Physical harassment (touching, grabbing, assault)",I have never experienced harassment in similar situations,I felt very unsafe,There was no risk of harassment at all
2026-02-24 12:01:55,56+,Umemployed,Afternoon,Street/Public place,The location was moderately crowded,The lighting was moderate,Security was fully present,I mostly knew the area,Harassment at home (by family member or known person),I have rarely experienced harassment in similar situations,I felt somewhat safe,There was a high risk of harassment
2026-02-24 12:02:12,26-35,Student,Morning,Online platform,The location was moderately crowded,The lighting was moderate,There was some security,I did not know the area at all,"Verbal harassment (unwanted comments, remarks)",I have never experienced harassment in similar situations,I felt somewhat safe,There was a moderate risk of harassment
2026-02-24 12:02:37,18-25,Student,Night,Public transport,The location was moderately crowded,The lighting was good,There was no security at all,I barely knew the area,Stalking (being followed or repeatedly contacted),I have rarely experienced harassment in similar situations,I felt completely safe,There was a moderate risk of harassment
2026-02-24 19:12:22,36-45,Self-employed,Early Morning,Online platform,The location was moderately crowded,The lighting was excellent,Security was fully present,I barely knew the area,"Online harassment (messages, social media, calls)",I have rarely experienced harassment in similar situations,I felt unsafe,There was a low risk of harassment
2026-02-24 19:12:40,26-35,Self-employed,Morning,Street/Public place,The location was not crowded at all,The lighting was good,There was some security,I knew the area completely,"Verbal harassment (unwanted comments, remarks)",I have rarely experienced harassment in similar situations,I felt mostly safe,There was a low risk of harassment
2026-02-24 19:13:40,18-25,Student,Night,Public transport,The location was moderately crowded,The lighting was good,There was no security at all,I barely knew the area,Stalking (being followed or repeatedly contacted),I have rarely experienced harassment in similar situations,I felt completely safe,There was a moderate risk of harassment
2026-02-24 19:14:40,26-35,Student,Morning,Online platform,The location was moderately crowded,The lighting was moderate,There was some security,I did not know the area at all,"Verbal harassment (unwanted comments, remarks)",I have never experienced harassment in similar situations,I felt somewhat safe,There was a moderate risk of harassment
2026-02-24 19:15:40,26-35,Self-employed,Early Morning,Workplace or Educational institute,The location was moderately crowded,The lighting was poor,Security was fully present,I somewhat knew the area,Harassment at home (by family member or known person),I have rarely experienced harassment in similar situations,I felt completely safe,There was a low risk of harassment
2026-02-24 19:16:40,56+,Umemployed,Afternoon,Street/Public place,The location was moderately crowded,The lighting was moderate,Security was fully present,I mostly knew the area,Harassment at home (by family member or known person),I have rarely experienced harassment in similar situations,I felt somewhat safe,There was a high risk of harassment
2026-02-24 19:17:40,46-55,Employed,Evening,Workplace or Educational institute,The location was mostly crowded,The lighting was poor,There was mostly security,I somewhat knew the area,"Physical harassment (touching, grabbing, assault)",I have rarely experienced harassment in similar situations,I felt unsafe,There was a moderate risk of harassment
2026-02-24 19:18:40,36-45,Self-employed,Early Morning,Online platform,The location was slightly crowded,The lighting was good,Security was fully present,I mostly knew the area,Stalking (being followed or repeatedly contacted),I have sometimes experienced harassment in similar situations,I felt mostly safe,There was a moderate risk of harassment
2026-02-24 19:19:40,36-45,Other,Night,At home,The location was extremely crowded,The lighting was excellent,Security was fully present,I knew the area completely,Harassment at home (by family member or known person),I have very often experienced harassment in similar situations,I felt completely safe,There was a very high risk of harassment
2026-02-24 19:20:40,56+,Umemployed,Afternoon,Street/Public place,The location was moderately crowded,The lighting was moderate,Security was fully present,I mostly knew the area,Harassment at home (by family member or known person),I have rarely experienced harassment in similar situations,I felt somewhat safe,There was a high risk of harassment
2026-02-24 19:21:40,26-35,Employed,Afternoon,Public transport,The location was moderately crowded,The lighting was very poor,There was no security at all,I somewhat knew the area,Harassment at home (by family member or known person),I have sometimes experienced harassment in similar situations,I felt unsafe,There was a low risk of harassment
2026-02-24 19:22:40,36-45,Self-employed,Afternoon,Street/Public place,The location was moderately crowded,The lighting was excellent,There was mostly security,I barely knew the area,"Physical harassment (touching, grabbing, assault)",I have rarely experienced harassment in similar situations,I felt unsafe,There was a moderate risk of harassment
2026-02-24 19:23:40,46-55,Employed,Evening,Workplace or Educational institute,The location was mostly crowded,The lighting was poor,There was mostly security,I somewhat knew the area,"Physical harassment (touching, grabbing, assault)",I have rarely experienced harassment in similar situations,I felt unsafe,There was a moderate risk of harassment
2026-02-24 19:24:40,26-35,Self-employed,Morning,Street/Public place,The location was not crowded at all,The lighting was good,There was some security,I knew the area completely,"Verbal harassment (unwanted comments, remarks)",I have rarely experienced harassment in similar situations,I felt mostly safe,There was a low risk of harassment
2026-02-24 19:25:40,46-55,Umemployed,Evening,Public transport,The location was mostly crowded,The lighting was excellent,There was no security at all,I knew the area completely,"Physical harassment (touching, grabbing, assault)",I have sometimes experienced harassment in similar situations,I felt very unsafe,There was a very high risk of harassment
2026-02-24 19:26:40,26-35,Student,Morning,Online platform,The location was moderately crowded,The lighting was moderate,There was some security,I did not know the area at all,"Verbal harassment (unwanted comments, remarks)",I have never experienced harassment in similar situations,I felt somewhat safe,There was a moderate risk of harassment
2026-02-24 19:27:40,36-45,Self-employed,Early Morning,Online platform,The location was moderately crowded,The lighting was excellent,Security was fully present,I barely knew the area,"Online harassment (messages, social media, calls)",I have rarely experienced harassment in similar situations,I felt unsafe,There was a low risk of harassment
2026-02-24 19:28:40,18-25,Student,Morning,Public transport,The location was slightly crowded,The lighting was moderate,There was no security at all,I somewhat knew the area,Stalking (being followed or repeatedly contacted),I have sometimes experienced harassment in similar situations,I felt unsafe,There was a low risk of harassment
2026-02-24 19:29:40,26-35,Self-employed,Night,Public transport,The location was not crowded at all,The lighting was very poor,There was mostly security,I barely knew the area,"Online harassment (messages, social media, calls)",I have rarely experienced harassment in similar situations,I felt somewhat safe,There was no risk of harassment at all
2026-02-24 19:30:40,36-45,Employed,Night,Street/Public place,The location was moderately crowded,The lighting was very poor,There was some security,I mostly knew the area,"Physical harassment (touching, grabbing, assault)",I have sometimes experienced harassment in similar situations,I felt somewhat safe,There was a moderate risk of harassment
2026-02-24 19:31:40,26-35,Self-employed,Early Morning,Workplace or Educational institute,The location was moderately crowded,The lighting was poor,Security was fully present,I somewhat knew the area,Harassment at home (by family member or known person),I have rarely experienced harassment in similar situations,I felt completely safe,There was a low risk of harassment
2026-02-24 19:32:40,26-35,Self-employed,Morning,Street/Public place,The location was slightly crowded,The lighting was very poor,There was mostly security,I barely knew the area,Stalking (being followed or repeatedly contacted),I have rarely experienced harassment in similar situations,I felt somewhat safe,There was a moderate risk of harassment
2026-02-24 19:33:40,36-45,Employed,Evening,Workplace or Educational institute,The location was moderately crowded,The lighting was good,There was no security at all,I knew the area completely,Stalking (being followed or repeatedly contacted),I have rarely experienced harassment in similar situations,I felt mostly safe,There was a high risk of harassment
2026-02-24 19:34:40,46-55,Umemployed,Evening,Public transport,The location was mostly crowded,The lighting was excellent,There was no security at all,I knew the area completely,"Physical harassment (touching, grabbing, assault)",I have sometimes experienced harassment in similar situations,I felt very unsafe,There was a very high risk of harassment
2026-02-24 19:35:40,18-25,Student,Morning,Workplace or Educational institute,The location was slightly crowded,The lighting was moderate,Security was fully present,I mostly knew the area,Stalking (being followed or repeatedly contacted),I have sometimes experienced harassment in similar situations,I felt somewhat safe,There was a high risk of harassment
2026-02-24 19:37:40,36-45,Employed,Evening,Workplace or Educational institute,The location was moderately crowded,The lighting was good,There was no security at all,I knew the area completely,Stalking (being followed or repeatedly contacted),I have rarely experienced harassment in similar situations,I felt mostly safe,There was a high risk of harassment
2026-02-24 19:38:40,18-25,Student,Morning,Workplace or Educational institute,The location was slightly crowded,The lighting was moderate,Security was fully present,I mostly knew the area,Stalking (being followed or repeatedly contacted),I have sometimes experienced harassment in similar situations,I felt somewhat safe,There was a high risk of harassment
2026-02-24 19:39:40,26-35,Self-employed,Early Morning,Workplace or Educational institute,The location was moderately crowded,The lighting was poor,Security was fully present,I somewhat knew the area,Harassment at home (by family member or known person),I have rarely experienced harassment in similar situations,I felt completely safe,There was a low risk of harassment
2026-02-24 19:40:40,46-55,Employed,Afternoon,Online platform,The location was extremely crowded,The lighting was moderate,There was mostly security,I knew the area completely,"Online harassment (messages, social media, calls)",I have rarely experienced harassment in similar situations,I felt unsafe,There was a moderate risk of harassment
2026-02-24 19:41:40,46-55,Other,Morning,Workplace or Educational institute,The location was extremely crowded,The lighting was poor,There was some security,I did not know the area at all,Stalking (being followed or repeatedly contacted),I have never experienced harassment in similar situations,I felt mostly safe,There was a low risk of harassment
2026-02-24 19:42:40,18-25,Student,Morning,Public transport,The location was mostly crowded,The lighting was good,There was some security,I barely knew the area,"Physical harassment (touching, grabbing, assault)",I have rarely experienced harassment in similar situations,I felt unsafe,There was a low risk of harassment
2026-02-24 19:43:40,26-35,Self-employed,Afternoon,Street/Public place,The location was moderately crowded,The lighting was moderate,There was mostly security,I somewhat knew the area,"Online harassment (messages, social media, calls)",I have sometimes experienced harassment in similar situations,I felt somewhat safe,There was a moderate risk of harassment
2026-02-24 19:44:40,36-45,Employed,Evening,Workplace or Educational institute,The location was slightly crowded,The lighting was good,Security was fully present,I somewhat knew the area,"Physical harassment (touching, grabbing, assault)",I have often experienced harassment in similar situations,I felt mostly safe,There was a high risk of harassment
2026-02-24 19:45:40,18-25,Student,Evening,Street/Public place,The location was slightly crowded,The lighting was moderate,There was no security at all,I mostly knew the area,"Physical harassment (touching, grabbing, assault)",I have sometimes experienced harassment in similar situations,I felt somewhat safe,There was no risk of harassment at all
2026-02-24 19:46:40,26-35,Umemployed,Evening,Online platform,The location was moderately crowded,The lighting was moderate,There was mostly security,I mostly knew the area,Stalking (being followed or repeatedly contacted),I have often experienced harassment in similar situations,I felt somewhat safe,There was a moderate risk of harassment
2026-02-24 19:47:40,36-45,Other,Night,At home,The location was extremely crowded,The lighting was excellent,Security was fully present,I knew the area completely,Harassment at home (by family member or known person),I have very often experienced harassment in similar situations,I felt completely safe,There was a very high risk of harassment
2026-02-24 19:48:40,18-25,Self-employed,Morning,Street/Public place,The location was mostly crowded,The lighting was moderate,There was mostly security,I mostly knew the area,"Verbal harassment (unwanted comments, remarks)",I have rarely experienced harassment in similar situations,I felt somewhat safe,There was a moderate risk of harassment
2026-02-24 19:49:40,26-35,Self-employed,Afternoon,Online platform,The location was moderately crowded,The lighting was moderate,There was mostly security,I barely knew the area,"Verbal harassment (unwanted comments, remarks)",I have never experienced harassment in similar situations,I felt very unsafe,There was no risk of harassment at all
2026-02-24 19:50:40,18-25,Student,Morning,Public transport,The location was moderately crowded,The lighting was good,There was no security at all,I barely knew the area,"Online harassment (messages, social media, calls)",I have very often experienced harassment in similar situations,I felt unsafe,There was a moderate risk of harassment
2026-02-24 19:51:40,46-55,Employed,Afternoon,At home,The location was slightly crowded,The lighting was excellent,Security was fully present,I somewhat knew the area,"Online harassment (messages, social media, calls)",I have very often experienced harassment in similar situations,I felt somewhat safe,There was a moderate risk of harassment
2026-02-24 19:52:40,18-25,Student,Morning,Workplace or Educational institute,The location was mostly crowded,The lighting was good,There was some security,I somewhat knew the area,"Verbal harassment (unwanted comments, remarks)",I have often experienced harassment in similar situations,I felt somewhat safe,There was a low risk of harassment
2026-02-24 19:53:40,46-55,Umemployed,Afternoon,Public transport,The location was moderately crowded,The lighting was good,There was mostly security,I knew the area completely,Stalking (being followed or repeatedly contacted),I have often experienced harassment in similar situations,I felt mostly safe,There was a low risk of harassment
2026-02-24 19:55:40,18-25,Employed,Afternoon,Street/Public place,The location was moderately crowded,The lighting was poor,There was some security,I somewhat knew the area,"Physical harassment (touching, grabbing, assault)",I have rarely experienced harassment in similar situations,I felt somewhat safe,There was a moderate risk of harassment
